Lat,Lon
38.438597564846106,-82.99676173158272
12.51666667,-70.03333333
17.11666667,-61.85
42.03472222,-93.62
16.86361111,-99.8825
30.25,-97.75
42.28138889,-83.74833333
40.69044444,-73.99513889
42.24666667,-84.75333333
40.26305556,-85.67638889
31.29277778,-92.45916667
32.19694444,-84.14166667
33.755,-84.39
40.83722222,-73.88611111
25.06666667,-77.33333333
13.1,-59.61666667
17.25,-88.76666667
32.3,-64.78333333
18.43138333,-64.62305
42.90472222,-78.84944444
36.21138889,-81.66861111
19.33333333,-81.4
9.933333333,-84.08333333
42.37361111,-71.11055556
39.98333333,-82.98333333
41.48222222,-81.66972222
43.6426,-79.3871
43.20666667,-71.53805556
44.25,-85.4
42.52352,-92.446402
38.951554,-92.328597
16.41666667,-92.41666667
39.21388889,-85.91111111
41.83694444,-87.68472222
42.17722222,-84.64555556
19.0,-70.66666667
39.75944444,-84.19166667
42.24166667,-71.16666667
41.54305556,-90.59083333
42.33138889,-83.04583333
42.35194444,-82.9175
42.05166667,-83.15138889
41.59083333,-93.62083333
13.66666667,-89.16666667
40.80399,-73.8251343
40.696355,-74.016609
38.50277778,-90.645
45.957319,-66.647818
41.08055556,-85.13916667
40.41777778,-85.64888889
14.61333333,-90.53527778
64.16666667,-51.73333333
41.59555556,-87.34527778
41.58194444,-85.83666667
40.73388889,-74.00111111
18.53333333,-72.33333333
14.1,-87.21666667
29.76277778,-95.38305556
43.70222222,-72.28944444
41.68611111,-70.07638889
43.25,-79.86666667
63.74861111,-68.51972222
42.44333333,-76.5
48.1,-88.55
17.98333333,-76.8
42.24416667,-84.40722222
32.29888889,-90.18472222
28.52405833,-80.65085
39.09972222,-94.57833333
40.81055556,-96.68027778
44.045,-71.67055556
42.05,-72.58333333
42.73361111,-84.54666667
19.43333333,-99.13333333
47.23972222,-95.2075
29.15111111,-89.25333333
38.81361111,-90.11972222
46.13277778,-64.77138889
46.54638889,-87.40666667
30.69444444,-88.04305556
18.40277778,-75.0125
12.15,-86.26666667
17.33333333,-62.75
40.70683333,-74.01102778
25.06666667,-77.33333333
36.16666667,-86.78333333
45.42083333,-75.69
40.44222222,-80.01444444
41.87277778,-77.875
39.46472222,-80.15361111
36.98666667,-89.13055556
8.966666667,-79.53333333
18.45,-66.1
33.6625,-95.54777778
42.25805556,-84.59833333
40.44166667,-80.0
38.52194444,-77.28972222
30.01916667,-94.07388889
32.80805556,-95.92055556
29.98555556,-93.79055556
17.3,-62.73333333
14.01666667,-60.98333333
46.78333333,-56.16666667
13.16666667,-61.23333333
38.62722222,-90.19777778
43.04694444,-76.14444444
17.11666667,-61.85
45.28055556,-66.07611111
41.66555556,-83.57527778
42.00611111,-83.94944444
38.88980278,-77.00911389
18.35,-64.93333333
10.5,-66.96666667
38.89111111,-77.04777778
38.94444444,-77.45583333
42.28333333,-83.0
42.4925,-92.34611111
45.08333333,-64.36666667
42.49194444,-83.02388889
33.48888889,-89.73138889
42.45333333,-87.84027778
28.32,-81.54027778
17.98333333,-76.8
20.83333333,-89.0
44.48111111,-92.25944444
41.95,-70.0
42.058,-70.179
41.9375,-70.03333333
