Lat,Lon
18.568545434964125,123.33265434735777
34.929,138.601
23.7,90.35
4.890283333,114.9422167
-8.65,115.2166667
22.27916667,114.1613889
37.55,143.85
39.91666667,116.3833333
31.39361111,121.9830556
22.28,114.1736111
12.45,130.8333333
35.68944444,139.6916667
23.7,90.35
30.4,152.35
-18.16666667,178.45
6.916666667,158.1833333
22.08333333,90.83333333
23.13333333,113.2666667
42.88055556,147.325
22.27451389,114.1716
-6.175,106.8283333
-2.533333333,140.7166667
35.68333333,139.7666667
-6.2,106.8166667
1.466666667,173.0333333
3.1475,101.6933333
2.993055556,101.7888889
31.6,130.55
22.63333333,120.2666667
-6.102,105.423
17.96666667,102.6
22.16666667,113.55
7.116666667,171.0666667
47.91666667,106.8833333
19.75,96.1
-36.79611111,148.1944444
-35.55888889,138.88
-43.59574722,170.1410417
33.955,115.075
39.03333333,125.75
15.23333333,145.75
-29.03,167.95
32.78333333,129.8666667
32.05,118.7666667
-9.5,147.1166667
7.35,134.4666667
14.58333333,120.9666667
31.95222222,115.8588889
39.9,116.3833333
25.03333333,121.6333333
37.55,126.9666667
1.283333333,103.8333333
31.2,121.5
33.85997222,151.2094444
-33.85866667,151.2140278
5.25,117.0
35.68950556,139.6917
13.75,100.4833333
-8.533333333,179.2166667
22.28472222,114.1544444
35.71260833,139.7799944
-17.75,168.3
-41.28888889,174.7772222
36.6,140.4833333
35.01166667,135.7683333
2.183333333,102.3833333
35.358,138.731
36.2,147.25
11.68,92.77
39.01944444,125.7380556
-36.55805556,147.5236111
37.81027778,145.3855556
-8.566666667,125.5666667
41.96888889,128.0733333
39.86666667,124.3166667
34.49194444,96.34027778
37.78,119.25
39.13333333,117.1833333
39.01333333,146.3936111
1.366666667,103.8
11.55,104.9166667
35.3075,149.1244167
34.69388889,135.5022222
32.91666667,151.75
12.7,131.7166667
35.52694444,148.9461111
44.0,113.0
24.63583333,147.9972222
37.3375,146.7566667
36.60666667,141.1886111
4.890277778,114.9422222
13.75,100.4666667
23.7,90.375
21.03333333,105.85
50.72944444,98.66361111
-17.75,168.3
-9.513638889,147.2188056
16.8,96.15
-26.65,152.3666667
-27.4,153.15
25.03333333,121.6333333
53.33277778,121.4769444
48.81638889,108.7702778
48.79833333,109.1983333
52.94722222,141.0838889
39.35,97.16666667
66.4,129.1666667
37.2,95.73333333
27.49,96.2
56.056044,160.644089
38.15,144.35
36.12138889,146.8880556
36.08055556,146.9158333
34.38527778,132.4552778
34.69,135.1955556
28.01666667,153.4
5.4,100.2333333
16.46666667,107.5791667
40.81666667,140.75
35.18145556,136.9063861
33.58333333,130.4
35.44750833,139.6423444
33.43333333,133.4333333
35.31666667,139.55
37.76666667,140.4666667
-41.27083333,173.2838889
36.75,144.2666667
33.7125,150.3119444
38.08333333,141.8833333
37.20777778,142.3997222
36.73833333,146.775
-39.28333333,175.5666667
36.55194444,145.9816667
38.15,146.4666667
36.13333333,144.75
38.19583333,146.5402778
30.82305556,111.0033333
10.76944444,106.6819444
47.91666667,106.9166667
37.48333333,126.6333333
33.70833333,94.695
30.74888889,121.4658333
48.6,132.2
18.56777778,148.5552778
14.58333333,121.0
24.85,152.35
55.00083333,166.2730556
57.36666667,106.0
38.1,147.0666667
35.44416667,139.6380556
34.26666667,108.9
30.58333333,114.2833333
-6.5,106.25
22.55,114.1
28.93305556,152.1530556
-36.98944444,147.5113889
-36.11694444,147.0416667
