Lat,Lon
-25.553422516488123,-38.971820936387466
-15.51805556,-71.76527778
0.707777778,-50.08944444
-15.78333333,-47.86666667
-1.393888889,-61.84611111
-15.79388889,-47.88277778
-33.43333333,-70.66666667
3.138333333,-65.88027778
2.001388889,-67.09833333
-22.95241667,-43.21166667
-22.96694444,-43.18055556
-3.718333333,-38.54277778
-2.635833333,-65.75611111
-33.64513889,-78.82318889
-4.733333333,-77.06666667
-10.63861111,-65.65555556
-3.375555556,-58.77305556
-43.59574722,170.1410417
-3.7,-73.25
-3.457777778,-72.7175
-25.26666667,-57.66666667
-3.693055556,-61.47
-4.908055556,-76.40888889
-22.90833333,-43.19638889
5.833333333,-55.16666667
-54.28333333,-36.5
-4.485277778,-74.06638889
-1.881111111,-55.63611111
-37.06666667,-12.31666667
-34.88333333,-56.16666667
-41.28888889,174.7772222
-1.533055556,-52.24166667
-34.88361111,-56.18194444
-16.5,-68.15
-19.05,-65.25
-1.75,-49.16666667
-33.45,-70.66666667
-27.11666667,-109.3666667
6.8,-58.16666667
-25.28219722,-57.6351
5.866666667,-55.16666667
-41.27083333,173.2838889
-23.00694444,-47.13444444
-22.90083333,-47.05722222
-39.28333333,175.5666667
-8.05,-34.9
-33.05,-71.61666667
-25.40805556,-54.58888889
-13.525,-71.97222222
1.833333333,-54.0
-36.82819444,-73.05136944
-19.91666667,-43.93333333
5.1597,-52.6503
-12.04333333,-77.02833333
-37.78333333,175.2833333
2.318055556,-63.36166667
-22.01777778,-47.89083333
-41.1207,175.1137
-45.08416667,170.9805556
-4.205277778,-69.93277778
-44.48333333,169.9666667
-15.795,-47.75777778
-16.33388889,-48.95194444
-20.55722222,-48.56777778
-15.93333333,-50.13333333
-77.52972222,167.1533333
-65.41666667,164.5833333
-43.57144,172.76447
-12.04333333,-77.02833333
-39.48333333,176.9166667
-39.06666667,174.0833333
-39.33333333,174.2833333
-39.65,176.8333333
-30.03305556,-51.23
-45.03111111,168.6625
-36.15055556,-70.39638889
-39.71510833,-62.13123056
-38.6875,176.0694
-36.98333333,174.8833333
